,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Cameroon,62.956 457 ,57.917 056 , 70.712 979,,46.315 532 ,42.608 168 , 52.021 817,,... ,... , ...,,67.231 627 ,61.944 218 , 74.362 485,,53.557 821 ,49.345 784 , 59.23 838,,... ,... , ...,,71.087 943 ,65.583 884 , 78.173 062,,63.014 329 ,58.135 378 , 69.294 776,,... ,... , ...,,73.450 429 ,68.013 042 , 80.734 892,,69.239 487 ,64.113 827 , 76.106 329,,... ,... , ...,,75.629 714 ,70.121 971 , 83.290 815,,76.912 855 ,71.311 667 , 84.703 935,,... ,... , ...,,78.152 496 ,72.340 238 , 85.959 079,,90.109 372 ,83.407 873 , 99.110 317,,... ,... , ...,
Canada,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Central African Republic,53.967 945 ,44.808 427 , 64.626 372,,55.797 285 ,46.327 289 , 66.816 999,,... ,... , ...,,52.633 014 ,43.684 543 , 63.372 634,,45.464 716 ,37.734 973 , 54.741 665,,... ,... , ...,,52.516 874 ,43.738 028 , 63.752 896,,56.809 735 ,47.313 284 , 68.964 217,,... ,... , ...,,53.356 601 ,44.121 469 , 64.55 868,,63.223 079 ,52.280 225 , 76.496 599,,... ,... , ...,,54.756 389 ,44.998 777 , 67.108 266,,73.712 868 ,60.577 204 , 90.340 924,,... ,... , ...,,57.677 772 ,47.239 793 , 70.914 752,,81.240 304 ,66.5 382 , 99.884 857,,... ,... , ...,
Chad,56.53 523 ,46.78 657 , 67.759 458,,93.417 399 ,77.308 957 , 111.964 032,,... ,... , ...,,60.532 152 ,50.325 435 , 72.285 907,,54.415 857 ,45.240 448 , 64.981 988,,... ,... , ...,,62.178 037 ,51.42 774 , 74.046 466,,63.746 387 ,52.72 493 , 75.91 418,,... ,... , ...,,63.391 877 ,52.216 138 , 75.084 816,,76.516 234 ,63.026 723 , 90.630 024,,... ,... , ...,,66.214 907 ,54.642 027 , 78.236 904,,85.472 815 ,70.534 085 , 100.991 284,,... ,... , ...,,70.411 259 ,58.037 402 , 83.448 819,,91.657 995 ,75.550 303 , 108.629 665,,... ,... , ...,
Chile,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",77.819 468 ,49.697 248 , 103.892 677,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",82.537 134 ,52.407 826 , 109.909 892,"Estimates were not available at the time of publication.",94.447 877 ,59.970 678 , 125.770 735,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",88.861 292 ,55.938 532 , 117.823 439,"Estimates were not available at the time of publication.",95.447 293 ,60.084 446 , 126.555 985,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",92.252 299 ,57.65 851 , 122.229 909,"Estimates were not available at the time of publication.",96.073 696 ,60.046 917 , 127.293 078,"Estimates were not available at the time of publication."
Colombia,44.421 855 ,35.369 072 , 55.208 118,,90.965 184 ,72.42 728 , 113.052 835,,... ,... , ...,,47.938 467 ,38.145 397 , 59.4 805,,91.924 564 ,73.145 831 , 114.057 028,,... ,... , ...,,53.318 279 ,42.164 359 , 65.974 223,,82.442 727 ,65.196 117 , 102.011 823,,72.324 584 ,57.19 464 , 89.491 977,,58.6 151 ,46.315 635 , 72.329 725,,77.005 263 ,60.84 691 , 95.022 776,,96.055 764 ,75.89 996 , 118.530 669,,63.964 726 ,50.539 248 , 78.595 342,,72.519 626 ,57.298 571 , 89.107,,94.220 903 ,74.444 993 , 115.771 998,,62.829 637 ,49.975 335 , 77.475 928,,94.337 303 ,75.036 854 , 116.328 384,,89.443 192 ,71.144 028 , 110.293 401,
Comoros,36.538 462 ,18.269 231 , 78.698 226,,100 ,50 , 215.384 615,,... ,... , ...,,47.169 811 ,23.139 907 , 99.679 601,,60 ,29.433 962 , 126.792 453,,... ,... , ...,,68.518 519 ,34.25 926 , 142.112 484,,51.351 351 ,25.675 675 , 106.506 506,,... ,... , ...,,83.636 364 ,42.578 513 , 173.355 373,,54.347 826 ,27.667 984 , 112.648 221,,... ,... , ...,,92.857 143 ,48.086 735 , 189.030 613,,59.615 385 ,30.872 253 , 121.359 891,,... ,... , ...,,100 ,51.769 775 , 207.079 101,,58.62 069 ,29.824 562 , 119.298 246,,... ,... , ...,
Congo,34.991 495 ,27.840 285 , 42.701 802,,77.158 862 ,61.389 909 , 94.160 665,,... ,... , ...,,34.392 062 ,26.704 693 , 42.371 174,,80.268 373 ,62.326 657 , 98.890 994,,... ,... , ...,,34.277 939 ,26.140 256 , 43.830 923,,84.976 054 ,64.802 489 , 108.658 191,,... ,... , ...,,34.290 533 ,25.563 849 , 45.960 537,,92.738 976 ,69.1 376 , 124.300 579,,... ,... , ...,,33.866 307 ,24.648 069 , 47.339 713,,68.965 984 ,50.193 791 , 96.403 481,,... ,... , ...,,32.887 092 ,23.10 279 , 48.421 291,,74.457 344 ,52.305 396 , 109.627 227,,... ,... , ...,
Costa Rica,79.279 122 ,69.961 099 , 88.044 966,,100 ,88.246 561 , 111.056 939,,... ,... , ...,,79.837 165 ,70.086 937 , 88.746 197,,100 ,87.787 356 , 111.159 004,,... ,... , ...,,82.837 562 ,72.183 912 , 92.017 578,,100 ,87.139 108 , 111.081 948,,... ,... , ...,,88.903 654 ,76.805 668 , 99.064 072,,100 ,86.392 027 , 111.428 571,,... ,... , ...,,94.304 027 ,81.211 631 , 105.993 666,,100 ,86.116 822 , 112.395 695,,... ,... , ...,,65.804 819 ,56.313 113 , 74.405 999,,100 ,85.575 971 , 113.070 745,,... ,... , ...,
Croatia,69.243 156 ,56.141 593 , 82.010 211,"Children estimates were not available at the time of publication.",89.534 884 ,72.593 904 , 106.043 329,"Children estimates were not available at the time of publication.",96.512 869 ,78.251 577 , 114.307 915,"Children estimates were not available at the time of publication.",73.558 801 ,59.367 211 , 87.24 153,"Children estimates were not available at the time of publication.",91.431 557 ,73.791 802 , 108.43 881,"Children estimates were not available at the time of publication.",97.218 826 ,78.462 542 , 115.302 574,"Children estimates were not available at the time of publication.",77.647 059 ,62.517 301 , 92.434 256,"Children estimates were not available at the time of publication.",89.583 333 ,72.127 757 , 106.643 688,"Children estimates were not available at the time of publication.",100 ,78.948 208 , 116.727 989,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",100 ,79.090 572 , 117.458 503,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",100 ,79.229 011 , 118.277 119,"Children estimates were not available at the time of publication.",84.761 282 ,68.075 117 , 102.44 529,"Children estimates were not available at the time of publication.",87.962 963 ,70.646 513 , 106.314 948,"Children estimates were not available at the time of publication.",100 ,79.166 385 , 119.136 384,"Children estimates were not available at the time of publication."
Cuba,100 ,90.37 696 , 122.590 245,,75.79 375 ,63.863 488 , 86.62 651,,... ,... , ...,,100 ,92.273 898 , 125.143 201,,78.438 576 ,66.054 576 , 89.584 176,,... ,... , ...,,100 ,93.874 477 , 127.914 531,,81.777 331 ,68.448 392 , 93.268 632,,64.87 319 ,54.299 468 , 73.989 131,,100 ,95.319 715 , 131.013 988,,85.673 662 ,71.321 773 , 98.029 561,,67.173 796 ,55.920 969 , 76.861 635,,100 ,97.036 812 , 134.154 923,,88.733 166 ,73.607 871 , 101.764 043,,64.400 646 ,53.423 029 , 73.85 818,,100 ,93.618 345 , 130.106 885,,87.841 001 ,72.643 519 , 100.956 943,,... ,... , ...,
Cyprus,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Czechia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Côte d'Ivoire,48.829 907 ,43.073 215 , 57.935 556,,59.136 369 ,52.16 462 , 70.163 935,,... ,... , ...,,52.278 662 ,46.386 429 , 61.931 443,,65.251 522 ,57.897 141 , 77.299 625,,... ,... , ...,,55.962 308 ,49.926 069 , 66.143 827,,73.006 017 ,65.131 399 , 86.288 388,,... ,... , ...,,60.136 406 ,53.829 973 , 70.528 631,,82.048 979 ,73.444 601 , 96.227 936,,77.247 058 ,69.146 252 , 90.59 619,,64.206 768 ,57.8 175 , 74.96 839,,89.759 375 ,80.827 347 , 104.80 384,,80 ,72.039 135 , 93.408 707,,67.966 393 ,61.311 759 , 78.946 594,,89.461 764 ,80.702 504 , 103.914 615,,83.564 192 ,75.382 367 , 97.064 271,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,28.854 397 ,24.617 693 , 33.754 523,,91.903 156 ,78.408 973 , 107.510 381,,... ,... , ...,,39.846 342 ,34.030 763 , 46.242 274,,100 ,85.404 986 , 116.051 492,,... ,... , ...,,50.482 736 ,43.063 658 , 57.939 679,,100 ,83.827 451 , 112.785 019,,... ,... , ...,,64.651 398 ,55.36 911 , 74.332 247,,97.902 347 ,83.846 073 , 112.562 167,,... ,... , ...,,83.074 021 ,71.034 094 , 95.987 241,,100 ,85.506 989 , 115.544 234,,... ,... , ...,,100 ,86.14 914 , 117.486 651,,100 ,84.448 481 , 115.167 361,,... ,... , ...,
Denmark,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",84.835 119 ,66.980 721 , 102.315 323,"Children estimates were not available at the time of publication.",94.082 694 ,74.282 051 , 113.468 353,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88.314 332 ,69.346 168 , 106.92 291,"Children estimates were not available at the time of publication.",96.818 811 ,76.024 054 , 117.219 354,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Djibouti,61.469 032 ,44.537 786 , 82.915 277,,42.632 911 ,30.889 952 , 57.507 325,,... ,... , ...,,71.894 159 ,52.685 265 , 96.786 845,,43.447 038 ,31.83 873 , 58.490 172,,64.366 197 ,47.168 646 , 86.652 396,,81.857 523 ,60.112 415 , 109.870 018,,37.738 918 ,27.713 733 , 50.653 568,,63.311 688 ,46.493 204 , 84.977 605,,90.770 826 ,66.799 547 , 121.48 795,,38.956 588 ,28.668 709 , 52.139 616,,78.666 667 ,57.891 923 , 105.287 706,,89.749 104 ,65.97 685 , 119.633 304,,35.303 514 ,25.952 512 , 47.058 698,,64.027 149 ,47.067 987 , 85.346 583,,100 ,72.124 788 , 130.542 934,,35.536 254 ,26.017 615 , 47.090 825,,63.181 818 ,46.258 117 , 83.725 311,
Dominican Republic,53.217 297 ,42.822 268 , 66.917 615,,59.879 304 ,48.182 974 , 75.294 696,,... ,... , ...,,59.998 854 ,48.42 664 , 74.808 676,,58.363 567 ,47.106 757 , 72.769 743,,... ,... , ...,,64.02 124 ,52.172 495 , 79.991 367,,59.975 029 ,48.875 137 , 74.935 827,,52.915 405 ,43.122 075 , 66.115 177,,73.800 602 ,60.312 602 , 92.115 621,,56.914 259 ,46.512 454 , 71.038 612,,89.709 298 ,73.313 782 , 111.972 362,,80.930 521 ,65.935 115 , 100.252 008,,56.556 236 ,46.077 078 , 70.058 565,,83.586 846 ,68.099 256 , 103.542 508,,79.527 208 ,64.555 998 , 99.02 104,,63.225 603 ,51.323 214 , 78.72 356,,95.241 783 ,77.312 262 , 118.587 596,
Ecuador,... ,... , ...,,... ,... , ...,,... ,... , ...,,53.944 982 ,37.708 896 , 78.766 931,,83.111 516 ,58.097 035 , 121.353 994,,... ,... , ...,,66.847 115 ,46.302 872 , 97.059 951,,75.998 696 ,52.641 881 , 110.347 765,,... ,... , ...,,76.772 796 ,53.174 546 , 112.026 624,,75.203 715 ,52.087 765 , 109.737 025,,86.672 766 ,60.031 485 , 126.472 629,,84.467 755 ,58.319 446 , 123.835 518,,81.539 752 ,56.297 852 , 119.542 865,,73.267 987 ,50.586 741 , 107.415 891,,82.891 338 ,57.027 267 , 122.115 711,,87.577 419 ,60.251 179 , 129.019 256,,... ,... , ...,
Egypt,40.316 278 ,34.776 271 , 45.342 757,,43.10 691 ,37.183 432 , 48.481 314,,... ,... , ...,,45.806 431 ,39.590 759 , 50.822 513,,46.896 967 ,40.533 315 , 52.032 469,,... ,... , ...,,52.934 981 ,46.295 128 , 58.523 061,,52.594 799 ,45.997 616 , 58.146 968,,... ,... , ...,,61.391 271 ,53.958 694 , 67.001 417,,56.118 927 ,49.324 667 , 61.247 268,,... ,... , ...,,70.408 425 ,62.348 893 , 77.384 617,,56.016 559 ,49.604 439 , 61.566 779,,... ,... , ...,,78.848 247 ,69.902 278 , 87.443 818,,56.96 624 ,50.502 961 , 63.176 363,,... ,... , ...,
El Salvador,75.331 695 ,67.428 345 , 82.963 579,,69.591 215 ,62.290 122 , 76.641 529,,100 ,89.5 086 , 110.13 104,,79.58 806 ,71.660 631 , 88.046 973,,68.418 924 ,61.604 005 , 75.69 074,,79.251 378 ,71.357 484 , 87.674 507,,85.104 018 ,76.461 169 , 93.334 659,,63.472 663 ,57.026 614 , 69.611 277,,82.140 946 ,73.799 016 , 90.08 502,,91.322 868 ,81.748 987 , 100.738 265,,59.85 143 ,53.576 874 , 66.022 119,,84.309 091 ,75.470 503 , 93.001 367,,94.301 008 ,84.198 389 , 104.010 211,,69.866 444 ,62.381 539 , 77.059 872,,100 ,90.010 368 , 111.189 744,,94.156 811 ,84.016 166 , 103.825 455,,73.313 368 ,65.417 552 , 80.84 167,,86.912 495 ,77.552 059 , 95.837 245,
Equatorial Guinea,34.129 205 ,28.234 369 , 43.038 902,,28.950 549 ,23.950 177 , 36.508 317,,... ,... , ...,,33.681 518 ,27.610 591 , 43.016 355,,42.825 794 ,35.106 657 , 54.694 968,,... ,... , ...,,34.590 795 ,27.975 529 , 45.433 942,,53.815 128 ,43.523 332 , 70.68 451,,... ,... , ...,,36.120 949 ,28.492 086 , 48.651 818,,48.860 825 ,38.541 259 , 65.811 337,,... ,... , ...,,36.734 534 ,28.442 743 , 50.63 739,,52.987 993 ,41.027 439 , 73.042 268,,... ,... , ...,,36.63 879 ,27.70 966 , 51.7 756,,56.708 114 ,42.887 949 , 80.136 287,,... ,... , ...,
Eritrea,73.631 038 ,56.756 675 , 94.328 389,,88.724 842 ,68.391 363 , 113.664 993,,... ,... , ...,,76.269 545 ,58.529 682 , 97.880 733,,91.795 052 ,70.444 044 , 117.805 435,,... ,... , ...,,78.041 501 ,59.584 903 , 100.108 836,,82.362 849 ,62.884 264 , 105.652 106,,... ,... , ...,,78.896 196 ,60.281 675 , 101.038 856,,81.737 859 ,62.452 885 , 104.678 047,,80.404 267 ,61.433 936 , 102.970 175,,79.731 707 ,61.207 846 , 101.172 581,,82.594 065 ,63.4 052 , 104.804 664,,86.683 938 ,66.544 883 , 109.994 356,,81.155 249 ,62.290 741 , 102.549 941,,89.351 282 ,68.58 161 , 112.906 668,,89.261 031 ,68.512 337 , 112.792 624,
Estonia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",86.762 907 ,74.046 738 , 101.347 227,"Children estimates were not available at the time of publication.",69.514 946 ,59.326 678 , 81.199 988,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88.43 472 ,75.95 307 , 103.680 619,"Children estimates were not available at the time of publication.",70.418 706 ,60.479 831 , 82.558 695,"Children estimates were not available at the time of publication.",90.11 583 ,77.396 909 , 105.651 548,"Children estimates were not available at the time of publication.",89.02 035 ,76.697 372 , 104.65 052,"Children estimates were not available at the time of publication.",71.610 845 ,61.697 844 , 84.184 259,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Eswatini,87.885 289 ,81.126 568 , 96.054 011,,71.330 478 ,65.844 886 , 77.960 471,,... ,... , ...,,90.37 239 ,83.40 998 , 99.239 659,,78.836 814 ,72.76 312 , 86.572 221,,91.001 994 ,83.991 079 , 99.931 039,,92.207 853 ,84.826 994 , 101.142 439,,84.340 937 ,77.589 793 , 92.513 249,,91.039 699 ,83.752 346 , 99.861 095,,93.091 302 ,85.33 783 , 102.168 155,,86.114 419 ,78.942 044 , 94.510 992,,93.142 295 ,85.384 576 , 102.22 412,,93.170 707 ,85.465 542 , 102.806 057,,93.909 525 ,86.14 326 , 103.621 281,,96.80 492 ,88.799 208 , 106.816 106,,94.211 133 ,86.329 558 , 103.913 245,,100 ,91.634 136 , 110.298 265,,94.832 089 ,86.898 565 , 104.598 149,
Ethiopia,75.731 254 ,61.405 847 , 92.456 436,,81.06 345 ,65.729 399 , 98.966 243,,... ,... , ...,,80.467 748 ,65.245 968 , 98.23 836,,85.992 635 ,69.725 733 , 104.983 371,,... ,... , ...,,82.194 761 ,66.646 647 , 100.347 309,,86.883 042 ,70.448 084 , 106.070 987,,... ,... , ...,,83.661 568 ,67.836 674 , 102.139 086,,87.55 519 ,70.993 803 , 106.892 655,,89.772 562 ,72.791 751 , 109.599 756,,84.979 342 ,68.904 376 , 103.746 684,,91.8 109 ,74.443 654 , 112.086 964,,89.710 286 ,72.740 399 , 109.522 438,,86.97 949 ,70.526 337 , 106.188 809,,92.863 054 ,75.296 958 , 113.371 751,,92.159 513 ,74.7 265 , 112.512 834,
Fiji,... ,... , ...,,... ,... , ...,,... ,... , ...,,25.925 926 ,17.905 269 , 46.372 953,,78.991 597 ,54.554 109 , 141.289 981,,... ,... , ...,,27.888 446 ,18.499 706 , 51.110 299,,79.285 714 ,52.59 391 , 145.304 496,,... ,... , ...,,33.879 781 ,21.845 979 , 64.241 989,,76.88 172 ,49.574 005 , 145.781 185,,... ,... , ...,,41.763 727 ,26.058 898 , 81.234 271,,72.50 996 ,45.243 319 , 141.038 508,,75.257 732 ,46.957 819 , 146.383 176,,48.406 677 ,29.161 534 , 96.960 263,,72.413 793 ,43.624 091 , 145.047 355,,50.746 269 ,30.570 969 , 101.646 548,
Finland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
France,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",91.534 521 ,69.381 769 , 114.28 444,"Children estimates were not available at the time of publication.",94.084 429 ,71.31 456 , 117.4 681,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",94.616 369 ,71.512 003 , 117.866 143,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Gabon,68.901 253 ,58.389 447 , 81.088 927,,92.194 489 ,78.128 988 , 108.502 413,,... ,... , ...,,71.928 989 ,60.70 979 , 84.635 323,,91.38 055 ,77.127 374 , 107.523 023,,... ,... , ...,,77.660 835 ,65.250 172 , 92.075 243,,100 ,83.900 276 , 118.392 611,,... ,... , ...,,84.89 711 ,70.9 841 , 101.30 765,,100 ,83.611 916 , 119.329 916,,... ,... , ...,,85.684 491 ,71.314 722 , 103.361 945,,71.444 286 ,59.462 679 , 86.183 862,,... ,... , ...,,85.009 735 ,70.536 717 , 103.909 341,,66.180 544 ,54.91 322 , 80.893 991,,... ,... , ...,
Gambia,35.564 775 ,28.140 862 , 44.563 827,,38.035 171 ,30.095 579 , 47.659 314,,... ,... , ...,,36.873 906 ,29.18 805 , 46.272 326,,43.201 275 ,34.196 567 , 54.212 414,,... ,... , ...,,37.841 897 ,29.95 626 , 47.74 266,,41.140 299 ,32.567 329 , 51.904 039,,... ,... , ...,,38.638 549 ,30.65 562 , 49.918 411,,43.998 913 ,34.908 504 , 56.843 642,,... ,... , ...,,39.270 942 ,30.759 654 , 51.344 316,,46.194 648 ,36.182 768 , 60.396 631,,... ,... , ...,,39.998 843 ,31.377 169 , 53.45 101,,46.419 395 ,36.413 784 , 62.030 883,,... ,... , ...,
Georgia,78.597 308 ,72.88 151 , 86.123 448,,67.204 478 ,62.317 196 , 73.639 689,,84.466 501 ,78.32 388 , 92.554 649,,82.106 509 ,75.596 289 , 90.113 108,,70.510 233 ,64.919 481 , 77.386 024,,86.650 185 ,79.779 697 , 95.09 986,,79.903 888 ,73.009 603 , 87.723 229,,76.845 271 ,70.21 489 , 84.365 298,,88.568 338 ,80.926 465 , 97.235 576,,79.671 333 ,72.575 428 , 87.591 591,,79.781 003 ,72.67 533 , 87.712 164,,88.378 288 ,80.506 901 , 97.164 119,,77.21 972 ,69.503 594 , 85.724 996,,85.876 249 ,77.295 125 , 95.334 988,,90.990 991 ,81.89 878 , 101.013 087,,81.093 999 ,70.815 489 , 90.712 158,,82.36 193 ,71.922 712 , 92.130 472,,100 ,86.369 344 , 110.6 361,
